Transaction time,Type,Transaction object,Amount (RMB)
2024/10/3 19:08,Shopping,DMALL,гд6.50
2024/10/3 14:56,Shopping,DMALL,гд1.50
2024/10/2 21:01,Catering,Beef noodles,гд22.00
2024/10/2 16:32,Shopping,DMALL,гд1.50
2024/10/2 15:38,Catering,Pancakes,гд13.00
2024/10/1 22:29,Catering,Meituan,гд105.00
2024/10/1 22:28,Catering,Meituan,гд86.00
2024/10/1 18:04,Entertainment,Tencent,гд15.00
2024/10/1 14:47,Catering,Meituan,гд95.00
2024/10/1 13:44,Catering,Meituan,гд51.00
2024/10/1 13:37,Catering,Meituan,гд188.00
2024/10/1 13:05,Catering,Meituan,гд15.90
2024/10/1 8:41,Shopping,Fruit shop,гд5.00
2024/10/1 8:40,Income,ICBC,"гд8,000"
2024/9/30 22:50,Catering,Meituan,гд28.00
2024/9/30 21:00,Living,Guaishou Charge,гд8.00
2024/9/30 17:44,Living,Xiaodian,гд4.00
2024/9/30 17:17,Catering,Chagang,гд5.00
2024/9/30 16:43,Living,Beijing All-in-One Card,гд20.00
2024/9/30 13:17,Catering,Pianyifang798,гд266.00
2024/9/29 20:37,Catering,Heytea,гд44.00
2024/9/29 10:34,Catering,BUPT,гд8.00
2024/9/28 12:38,Shopping,DMALL,гд8.50
2024/9/27 19:12,Shopping,DMALL,гд20.15
2024/9/27 12:18,Shopping,DMALL,гд4.90
2024/9/27 11:58,Living,BUPT,гд200.00
2024/9/27 11:57,Catering,BUPT,гд18.60
2024/9/26 21:26,Catering,Nanmen Hotpot,гд244.00
2024/9/26 10:56,Catering,Meituan,гд27.90
2024/9/26 0:02,Shopping,DMALL,гд13.80
2024/9/25 23:54,Living,Jiachen,гд517.50
2024/9/25 18:10,Catering,BUPT,гд18.48
2024/9/25 11:38,Catering,BUPT,гд18.00
2024/9/23 21:25,Living,H World Group Limited,гд537.00
2024/9/21 23:24,Shopping,DMALL,гд6.50
2024/9/21 23:22,Catering,Pancakes,гд19.00
2024/9/21 22:05,Shopping,DMALL,гд3.20
2024/9/21 12:52,Catering,Meituan,гд54.28
2024/9/21 12:38,Shopping,DMALL,гд4.90
2024/9/21 2:01,Living,Jiachen,гд494.00
2024/9/20 23:17,Catering,Meituan,гд16.48
2024/9/20 20:42,Living,Yiran,гд19.00
2024/9/20 20:19,Living,Wangye,гд35.00
2024/9/19 20:30,Shopping,DMALL,гд4.90
2024/9/19 13:43,Shopping,Supermarket,гд17.00
2024/9/18 14:39,Shopping,Supermarket,гд29.00
2024/9/16 18:44,Shopping,DMALL,гд12.14
2024/9/16 17:54,Shopping,Tianbaotang,гд12.00
2024/9/16 0:53,Living,Yihui,гд16.00
2024/9/15 21:17,Shopping,DMALL,гд16.84
2024/9/15 18:09,Living,BUPT,гд200.00
2024/9/15 18:07,Catering,BUPT,гд15.00
2024/9/15 12:18,Catering,Boshiju,гд23.00
2024/9/14 18:20,Shopping,DMALL,гд5.90
2024/9/14 12:15,Shopping,DMALL,гд5.00
2024/9/13 23:16,Shopping,DMALL,гд17.50
2024/9/13 21:31,Shopping,DMALL,гд2.60
2024/9/13 12:14,Shopping,DMALL,гд4.90
2024/9/12 18:44,Living,Jiachen,гд184.00
2024/9/10 15:08,Shopping,DMALL,гд11.90
2024/9/10 12:31,Shopping,DMALL,гд9.90
2024/9/9 23:17,Shopping,DMALL,гд3.90
2024/9/9 12:22,Shopping,DMALL,гд3.30
2024/9/8 23:10,Shopping,DMALL,гд29.90
2024/9/8 16:13,Living,Jiachen,гд56.00
2024/9/8 16:12,Living,Jiachen,гд137.00
2024/9/8 16:08,Living,CRNET,гд8.00
2024/9/7 22:57,Catering,Beef noodles,гд14.00
2024/9/6 15:01,Catering,Canteen,гд6.00
2024/9/5 16:47,Catering,Xiaojie Tianfu,гд8.00
2024/9/1 16:40,Income,ICBC,"гд8,000"
