Transaction time,Type,Transaction object,Amount (RMB)
2024/4/2 14:27,Living,BUPT,гд100.00
2024/4/2 11:26,Catering,Ele,гд13.80
2024/4/1 22:02,Living,Weizhen,гд0.25
2024/4/1 18:11,Shopping,DMALL,гд13.80
2024/4/1 17:50,Catering,BUPT,гд18.00
2024/4/1 11:18,Catering,Mouthful pancakes,гд12.00
2024/4/1 8:40,Income,ICBC,"гд8,000"
2024/3/31 18:26,Catering,Beef noodles,гд16.00
2024/3/31 13:11,Shopping,DMALL,гд5.00
2024/3/31 13:08,Catering,BUPT,гд12.00
2024/3/30 21:33,Living,Yihui,гд33.00
2024/3/30 12:27,Catering,BUPT,гд16.00
2024/3/29 21:25,Living,Yihui,гд12.90
2024/3/29 21:18,Shopping,Fruit shop,гд11.40
2024/3/29 19:37,Catering,Meituan,гд26.98
2024/3/29 17:42,Entertainment,Tencent,гд15.00
2024/3/28 17:30,Shopping,Fruit shop,гд10.00
2024/3/27 23:04,Catering,Meituan,гд26.79
2024/3/27 17:56,Catering,McDonald's,гд13.90
2024/3/27 12:42,Shopping,Fruit shop,гд10.00
2024/3/27 12:19,Catering,BUPT,гд12.00
2024/3/26 18:50,Shopping,DMALL,гд6.50
2024/3/24 23:29,Shopping,Fruit shop,гд4.00
2024/3/24 12:37,Catering,Jiangutou,гд26.00
2024/3/23 18:07,Shopping,Fenglan,гд3.50
2024/3/23 17:47,Catering,Sliced noodles,гд18.00
2024/3/23 17:32,Catering,Missa Ice City,гд5.00
2024/3/23 11:37,Catering,Meituan,гд27.99
2024/3/23 1:18,Shopping,JD,гд89.00
2024/3/22 18:19,Shopping,DMALL,гд1.30
2024/3/22 17:55,Catering,BUPT,гд3.00
2024/3/22 17:43,Catering,BUPT,гд17.00
2024/3/22 12:47,Shopping,DMALL,гд5.00
2024/3/22 10:47,Entertainment,YC,гд45.00
2024/3/21 18:25,Living,BUPT,гд200.00
2024/3/20 22:47,Shopping,Fruit shop,гд10.00
2024/3/19 21:16,Contingency,Hospital,гд4.17
2024/3/19 21:10,Contingency,Hospital,гд1.00
2024/3/19 20:14,Living,Gzz,гд45.00
2024/3/19 18:59,Catering,Missa Ice City,гд16.00
2024/3/18 18:33,Shopping,Fruit shop,гд10.00
2024/3/16 12:54,Shopping,Fruit shop,гд13.80
2024/3/15 23:53,Living,Gzz,гд78.00
2024/3/15 15:53,Catering,McDonald's,гд13.90
2024/3/15 11:57,Shopping,DMALL,гд5.00
